species body_mass_g sex
Adelie 3750 male
Adelie 3800 female
Adelie 3250 female
Adelie NA NA
Adelie 3450 female
Adelie 3650 male
Adelie 3625 female
Adelie 4675 male
Adelie 3475 NA
Adelie 4250 NA
Adelie 3300 NA
Adelie 3700 NA
Adelie 3200 female
Adelie 3800 male
Adelie 4400 male
Adelie 3700 female
Adelie 3450 female
Adelie 4500 male
Adelie 3325 female
Adelie 4200 male
Adelie 3400 female
Adelie 3600 male
Adelie 3800 female
Adelie 3950 male
Adelie 3800 male
Adelie 3800 female
Adelie 3550 male
Adelie 3200 female
Adelie 3150 female
Adelie 3950 male
Adelie 3250 female
Adelie 3900 male
Adelie 3300 female
Adelie 3900 male
Adelie 3325 female
Adelie 4150 male
Adelie 3950 male
Adelie 3550 female
Adelie 3300 female
Adelie 4650 male
Adelie 3150 female
Adelie 3900 male
Adelie 3100 female
Adelie 4400 male
Adelie 3000 female
Adelie 4600 male
Adelie 3425 male
Adelie 2975 NA
Adelie 3450 female
Adelie 4150 male
Adelie 3500 female
Adelie 4300 male
Adelie 3450 female
Adelie 4050 male
Adelie 2900 female
Adelie 3700 male
Adelie 3550 female
Adelie 3800 male
Adelie 2850 female
Adelie 3750 male
Adelie 3150 female
Adelie 4400 male
Adelie 3600 female
Adelie 4050 male
Adelie 2850 female
Adelie 3950 male
Adelie 3350 female
Adelie 4100 male
Adelie 3050 female
Adelie 4450 male
Adelie 3600 female
Adelie 3900 male
Adelie 3550 female
Adelie 4150 male
Adelie 3700 female
Adelie 4250 male
Adelie 3700 female
Adelie 3900 male
Adelie 3550 female
Adelie 4000 male
Adelie 3200 female
Adelie 4700 male
Adelie 3800 female
Adelie 4200 male
Adelie 3350 female
Adelie 3550 male
Adelie 3800 male
Adelie 3500 female
Adelie 3950 male
Adelie 3600 female
Adelie 3550 female
Adelie 4300 male
Adelie 3400 female
Adelie 4450 male
Adelie 3300 female
Adelie 4300 male
Adelie 3700 female
Adelie 4350 male
Adelie 2900 female
Adelie 4100 male
Adelie 3725 female
Adelie 4725 male
Adelie 3075 female
Adelie 4250 male
Adelie 2925 female
Adelie 3550 male
Adelie 3750 female
Adelie 3900 male
Adelie 3175 female
Adelie 4775 male
Adelie 3825 female
Adelie 4600 male
Adelie 3200 female
Adelie 4275 male
Adelie 3900 female
Adelie 4075 male
Adelie 2900 female
Adelie 3775 male
Adelie 3350 female
Adelie 3325 male
Adelie 3150 female
Adelie 3500 male
Adelie 3450 female
Adelie 3875 male
Adelie 3050 female
Adelie 4000 male
Adelie 3275 female
Adelie 4300 male
Adelie 3050 female
Adelie 4000 male
Adelie 3325 female
Adelie 3500 male
Adelie 3500 female
Adelie 4475 male
Adelie 3425 female
Adelie 3900 male
Adelie 3175 female
Adelie 3975 male
Adelie 3400 female
Adelie 4250 male
Adelie 3400 female
Adelie 3475 male
Adelie 3050 female
Adelie 3725 male
Adelie 3000 female
Adelie 3650 male
Adelie 4250 male
Adelie 3475 female
Adelie 3450 female
Adelie 3750 male
Adelie 3700 female
Adelie 4000 male
Gentoo 4500 female
Gentoo 5700 male
Gentoo 4450 female
Gentoo 5700 male
Gentoo 5400 male
Gentoo 4550 female
Gentoo 4800 female
Gentoo 5200 male
Gentoo 4400 female
Gentoo 5150 male
Gentoo 4650 female
Gentoo 5550 male
Gentoo 4650 female
Gentoo 5850 male
Gentoo 4200 female
Gentoo 5850 male
Gentoo 4150 female
Gentoo 6300 male
Gentoo 4800 female
Gentoo 5350 male
Gentoo 5700 male
Gentoo 5000 female
Gentoo 4400 female
Gentoo 5050 male
Gentoo 5000 female
Gentoo 5100 male
Gentoo 4100 NA
Gentoo 5650 male
Gentoo 4600 female
Gentoo 5550 male
Gentoo 5250 male
Gentoo 4700 female
Gentoo 5050 female
Gentoo 6050 male
Gentoo 5150 female
Gentoo 5400 male
Gentoo 4950 female
Gentoo 5250 male
Gentoo 4350 female
Gentoo 5350 male
Gentoo 3950 female
Gentoo 5700 male
Gentoo 4300 female
Gentoo 4750 male
Gentoo 5550 male
Gentoo 4900 female
Gentoo 4200 female
Gentoo 5400 male
Gentoo 5100 female
Gentoo 5300 male
Gentoo 4850 female
Gentoo 5300 male
Gentoo 4400 female
Gentoo 5000 male
Gentoo 4900 female
Gentoo 5050 male
Gentoo 4300 female
Gentoo 5000 male
Gentoo 4450 female
Gentoo 5550 male
Gentoo 4200 female
Gentoo 5300 male
Gentoo 4400 female
Gentoo 5650 male
Gentoo 4700 female
Gentoo 5700 male
Gentoo 4650 NA
Gentoo 5800 male
Gentoo 4700 female
Gentoo 5550 male
Gentoo 4750 female
Gentoo 5000 male
Gentoo 5100 male
Gentoo 5200 female
Gentoo 4700 female
Gentoo 5800 male
Gentoo 4600 female
Gentoo 6000 male
Gentoo 4750 female
Gentoo 5950 male
Gentoo 4625 female
Gentoo 5450 male
Gentoo 4725 female
Gentoo 5350 male
Gentoo 4750 female
Gentoo 5600 male
Gentoo 4600 female
Gentoo 5300 male
Gentoo 4875 female
Gentoo 5550 male
Gentoo 4950 female
Gentoo 5400 male
Gentoo 4750 female
Gentoo 5650 male
Gentoo 4850 female
Gentoo 5200 male
Gentoo 4925 male
Gentoo 4875 female
Gentoo 4625 female
Gentoo 5250 male
Gentoo 4850 female
Gentoo 5600 male
Gentoo 4975 female
Gentoo 5500 male
Gentoo 4725 NA
Gentoo 5500 male
Gentoo 4700 female
Gentoo 5500 male
Gentoo 4575 female
Gentoo 5500 male
Gentoo 5000 female
Gentoo 5950 male
Gentoo 4650 female
Gentoo 5500 male
Gentoo 4375 female
Gentoo 5850 male
Gentoo 4875 NA
Gentoo 6000 male
Gentoo 4925 female
Gentoo NA NA
Gentoo 4850 female
Gentoo 5750 male
Gentoo 5200 female
Gentoo 5400 male
Chinstrap 3500 female
Chinstrap 3900 male
Chinstrap 3650 male
Chinstrap 3525 female
Chinstrap 3725 male
Chinstrap 3950 female
Chinstrap 3250 female
Chinstrap 3750 male
Chinstrap 4150 female
Chinstrap 3700 male
Chinstrap 3800 female
Chinstrap 3775 male
Chinstrap 3700 female
Chinstrap 4050 male
Chinstrap 3575 female
Chinstrap 4050 male
Chinstrap 3300 male
Chinstrap 3700 female
Chinstrap 3450 female
Chinstrap 4400 male
Chinstrap 3600 female
Chinstrap 3400 male
Chinstrap 2900 female
Chinstrap 3800 male
Chinstrap 3300 female
Chinstrap 4150 male
Chinstrap 3400 female
Chinstrap 3800 male
Chinstrap 3700 female
Chinstrap 4550 male
Chinstrap 3200 female
Chinstrap 4300 male
Chinstrap 3350 female
Chinstrap 4100 male
Chinstrap 3600 male
Chinstrap 3900 female
Chinstrap 3850 female
Chinstrap 4800 male
Chinstrap 2700 female
Chinstrap 4500 male
Chinstrap 3950 male
Chinstrap 3650 female
Chinstrap 3550 male
Chinstrap 3500 female
Chinstrap 3675 female
Chinstrap 4450 male
Chinstrap 3400 female
Chinstrap 4300 male
Chinstrap 3250 male
Chinstrap 3675 female
Chinstrap 3325 female
Chinstrap 3950 male
Chinstrap 3600 female
Chinstrap 4050 male
Chinstrap 3350 female
Chinstrap 3450 male
Chinstrap 3250 female
Chinstrap 4050 male
Chinstrap 3800 male
Chinstrap 3525 female
Chinstrap 3950 male
Chinstrap 3650 female
Chinstrap 3650 female
Chinstrap 4000 male
Chinstrap 3400 female
Chinstrap 3775 male
Chinstrap 4100 male
Chinstrap 3775 female
